,county,year,unemployment
367,"Pasco County, FL",1990,6.3
368,"Pinellas County, FL",1990,4.7
369,"Polk County, FL",1990,10.2
370,"Putnam County, FL",1990,6.3
371,"St. Johns County, FL",1990,5.2
372,"St. Lucie County, FL",1990,13.0
373,"Santa Rosa County, FL",1990,5.5
374,"Sarasota County, FL",1990,3.8
375,"Seminole County, FL",1990,5.3
376,"Sumter County, FL",1990,7.8
377,"Suwannee County, FL",1990,7.9
378,"Taylor County, FL",1990,12.1
379,"Union County, FL",1990,5.1
380,"Volusia County, FL",1990,5.2
381,"Wakulla County, FL",1990,3.9
382,"Walton County, FL",1990,6.4
383,"Washington County, FL",1990,6.9
384,"Appling County, GA",1990,12.0
385,"Atkinson County, GA",1990,7.5
386,"Bacon County, GA",1990,5.9
387,"Baker County, GA",1990,5.2
388,"Baldwin County, GA",1990,4.2
389,"Banks County, GA",1990,5.3
390,"Barrow County, GA",1990,7.7
391,"Bartow County, GA",1990,7.3
392,"Ben Hill County, GA",1990,6.3
393,"Berrien County, GA",1990,7.3
394,"Bibb County, GA",1990,5.1
395,"Bleckley County, GA",1990,5.8
396,"Brantley County, GA",1990,8.5
397,"Brooks County, GA",1990,3.7
398,"Bryan County, GA",1990,4.4
399,"Bulloch County, GA",1990,5.3
400,"Burke County, GA",1990,10.8
401,"Butts County, GA",1990,6.8
402,"Calhoun County, GA",1990,5.6
403,"Camden County, GA",1990,5.3
404,"Candler County, GA",1990,5.0
405,"Carroll County, GA",1990,6.2
406,"Catoosa County, GA",1990,4.6
407,"Charlton County, GA",1990,4.9
408,"Chatham County, GA",1990,4.7
409,"Chattahoochee County, GA",1990,10.4
410,"Chattooga County, GA",1990,7.4
411,"Cherokee County, GA",1990,4.2
412,"Clarke County, GA",1990,5.8
413,"Clay County, GA",1990,4.7
414,"Clayton County, GA",1990,5.4
415,"Clinch County, GA",1990,5.0
416,"Cobb County, GA",1990,4.1
417,"Coffee County, GA",1990,7.2
418,"Colquitt County, GA",1990,5.2
419,"Columbia County, GA",1990,3.3
420,"Cook County, GA",1990,6.4
421,"Coweta County, GA",1990,5.8
422,"Crawford County, GA",1990,6.8
423,"Crisp County, GA",1990,7.0
424,"Dade County, GA",1990,5.9
425,"Dawson County, GA",1990,5.1
426,"Decatur County, GA",1990,4.4
427,"DeKalb County, GA",1990,4.9
